업종명,업소명,소재지(도로명),소재지전화
일반음식점,금성식당,전북특별자치도 장수군 번암면 장수로 494,063-353-5638
일반음식점,우성회관,전북특별자치도 장수군 계남면 한거2길 11-5,063-352-1083
일반음식점,교촌식당,전북특별자치도 장수군 장수읍 교촌로 33-2,063-351-2330
일반음식점,가야성,전북특별자치도 장수군 장수읍 장천로 187,063-352-7080
일반음식점,오복식당,전북특별자치도 장수군 장수읍 시장통길 6,063-351-2205
일반음식점,청포식당,전북특별자치도 장수군 계북면 장무로 967,063-352-1318
일반음식점,거창식당,전북특별자치도 장수군 장계면 한들로 109,063-352-0466
일반음식점,대우식당,전북특별자치도 장수군 장수읍 장수북동길 13,063-351-2576
일반음식점,영성반점,전북특별자치도 장수군 산서면 비행로 24,063-351-3471
일반음식점,우리식당,전북특별자치도 장수군 장계면 장무로 226,063-352-1414
일반음식점,부흥식당,전북특별자치도 장수군 번암면 신평로 315,063-353-2736
일반음식점,천천터미널식당,전북특별자치도 장수군 천천면 송탄4길 1,063-352-1989
일반음식점,태화루,전북특별자치도 장수군 장수읍 시장로 11  장수시장,063-351-2038
일반음식점,전원식당,전북특별자치도 장수군 번암면 장수로 446,063-353-5777
일반음식점,명륜진사갈비 장수&(엔드)장계점,전북특별자치도 장수군 장계면 서동로 34-5,063-353-4000
일반음식점,진미회관,전북특별자치도 장수군 장수읍 장천로 160,063-351-1898
일반음식점,남강식당,전북특별자치도 장수군 장수읍 장수북동1길 4,063-351-1356
일반음식점,전성회관,전북특별자치도 장수군 장계면 한들로 80,063-352-0010
일반음식점,서울숯불갈비,전북특별자치도 장수군 장계면 문화로 40,063-352-2933
일반음식점,한국관,전북특별자치도 장수군 장계면 한들로 60,063-351-5166
일반음식점,수궁회관,전북특별자치도 장수군 산서면 보산로 1871-2,063-351-3566
일반음식점,북경반점,전북특별자치도 장수군 장계면 신동서로 1,063-353-1493
일반음식점,족발슈퍼 무진장점,전북특별자치도 장수군 장계면 신동북로 12  1층 103호,063-353-7888
일반음식점,영분식,전북특별자치도 장수군 장계면 한들로 76-2,063-352-1415
일반음식점,홍실맛집,전북특별자치도 장수군 장계면 장계천변길 27,063-351-5587
일반음식점,선순대,전북특별자치도 장수군 장수읍 시장통길 5,063-351-2883
일반음식점,토담골,전북특별자치도 장수군 장수읍 장천로 214,063-352-3392
일반음식점,넌 짜장 난 짬뽕,전북특별자치도 장수군 장수읍 준비길 11,063-351-6236
일반음식점,휴양촌산장,전북특별자치도 장수군 번암면 방화동로 729,063-353-3595
일반음식점,범골산장,전북특별자치도 장수군 번암면 방화동로 235-14,063-353-4329
일반음식점,장승반점,전북특별자치도 장수군 천천면 장천로 953,063-352-0827
일반음식점,내고향산장,전북특별자치도 장수군 천천면 천천북로 136,063-352-3512
일반음식점,천천숯불갈비,전북특별자치도 장수군 천천면 천천로 74,063-352-0427
일반음식점,춘광옥,전북특별자치도 장수군 장계면 장계5길 9,063-352-0221
일반음식점,블루,전북특별자치도 장수군 장계면 한들3길 7,063-352-6677
일반음식점,사거리분식,전북특별자치도 장수군 장계면 장무로 222,063-351-0567
일반음식점,마실포차,전북특별자치도 장수군 장계면 한들로 104-1,063-351-1010
일반음식점,유림통닭,전북특별자치도 장수군 장수읍 장수북동길 3,063-351-5535
일반음식점,수남식당닭집,전북특별자치도 장수군 장수읍 상하평길 3,063-351-3393
일반음식점,삼봉가든,전북특별자치도 장수군 장수읍 장수로 1858-1,063-351-8440
일반음식점,풍년각,전북특별자치도 장수군 번암면 장수로 505,063-353-1034
일반음식점,두메산골,전북특별자치도 장수군 번암면 방화동로 752-16,063-353-1648
일반음식점,옥산가든,전북특별자치도 장수군 천천면 송탄4길 8-12,063-352-3616
일반음식점,참샘골가든,전북특별자치도 장수군 번암면 지지로 480-10,
일반음식점,먹으러회관,전북특별자치도 장수군 천천면 송탄4길 8-12,063-352-2718
일반음식점,궁실농원,전북특별자치도 장수군 장계면 저실길 12-9,063-352-3624
일반음식점,우미관,전북특별자치도 장수군 장계면 장계천변길 55-4,063-351-5909
일반음식점,수분령휴게소,전북특별자치도 장수군 장수읍 장수로 1450,063-353-0041
일반음식점,기사님식당,전북특별자치도 장수군 번암면 장수로 115,063-353-6002
일반음식점,황금산장,전북특별자치도 장수군 번암면 지지로 553,063-353-3158
일반음식점,줄서는 식당,전북특별자치도 장수군 계남면 장수로 3076,063-352-1796
일반음식점,옛터가든,전북특별자치도 장수군 계남면 장무로 168,063-351-0101
일반음식점,의료원구내식당,전북특별자치도 장수군 장수읍 장천로 247  장수보건의료원,063-350-3101
일반음식점,느티나무가든,전북특별자치도 장수군 천천면 천천북로 500,063-352-1563
일반음식점,토옥동 송어 횟집,전북특별자치도 장수군 계북면 토옥동로 313,063-353-1216
일반음식점,신동식당,전북특별자치도 장수군 장계면 한들로 109,063-352-0805
일반음식점,대갓집,전북특별자치도 장수군 장계면 한들로 123,063-353-7777
일반음식점,최가네야식,전북특별자치도 장수군 장수읍 방촌길 4,063-351-7569
